,Unnamed: 0,qid,title,category,sub_category,cve_id,cvss,publish_date
0,0,375923,Google Chrome Prior to 94.0.4606.71 Multiple Vulnerabilities,Local,"Authenticated Discovery, Patch Available","CVE-2021-37974,CVE-2021-37975,CVE-2021-37976",9.0,2021-10-01
7,10,239655,Red Hat Update for nodejs:12 (RHSA-2021:3638),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2021-3672,CVE-2021-22918,CVE-2021-22930,CVE-2021-22931,CVE-2021-22939,CVE-2021-22940,CVE-2021-23343,CVE-2021-23362,CVE-2021-27290,CVE-2021-32803,CVE-2021-32804",9.8,2021-09-30
8,11,239654,Red Hat Update for nodejs:12 (RHSA-2021:3639),RedHat,"Unix Authenticated Discovery, Patch Available","CVE-2021-3672,CVE-2021-22918,CVE-2021-22930,CVE-2021-22931,CVE-2021-22939,CVE-2021-22940,CVE-2021-23343,CVE-2021-23362,CVE-2021-27290,CVE-2021-32803,CVE-2021-32804",9.8,2021-09-30
11,14,751178,OpenSUSE Security Update for nodejs14 (openSUSE-SU-2021:1313-1),SUSE,"Unix Authenticated Discovery, Patch Available","CVE-2021-22931,CVE-2021-3672,CVE-2021-22940,CVE-2021-22930,CVE-2021-22939",9.8,2021-09-30
18,21,375903,"F5 BIG-IP Application Security Manager (ASM), Local Traffic Manager (LTM), Access Policy Manager (APM) Traffic Management User Interface (TMUI) Cross-Site Scripting (XSS) Vulnerability (K61643620)",Local,"Unix Authenticated Discovery, Patch Available",CVE-2021-23038,9.0,2021-09-30
24,27,198516,Ubuntu Security Notification for Apache Hypertext Transfer Protocol (HTTP) Server Vulnerabilities (USN-5090-1),Ubuntu,"Unix Authenticated Discovery, Patch Available","CVE-2021-36160,CVE-2021-40438,CVE-2021-34798,CVE-2021-33193,CVE-2021-39275",9.8,2021-09-30
32,35,590531,Texas Instruments SimpleLink Multiple Vulnerabilities (ICSA-21-119-01),ICS,"Windows Authenticated Discovery, Patch Available","CVE-2021-22679,CVE-2021-22673,CVE-2021-22677,CVE-2021-22671,CVE-2021-22675",9.8,2021-09-16
57,60,375586,Apple macOS Security Update 2021-003 Catalina (HT212530),Local,"Unix Authenticated Discovery, Patch Available","CVE-2020-36221,CVE-2020-36222,CVE-2020-36223,CVE-2020-36224,CVE-2020-36225,CVE-2020-36226,CVE-2020-36227,CVE-2020-36228,CVE-2020-36229,CVE-2020-36230,CVE-2021-1883,CVE-2021-1884,CVE-2021-30669,CVE-2021-30671,CVE-2021-30673,CVE-2021-30676,CVE-2021-30678,CVE-2021-30679,CVE-2021-30681,CVE-2021-30683,CVE-2021-30684,CVE-2021-30685,CVE-2021-30687,CVE-2021-30691,CVE-2021-30692,CVE-2021-30693,CVE-2021-30694,CVE-2021-30695,CVE-2021-30697,CVE-2021-30701,CVE-2021-30702,CVE-2021-30704,CVE-2021-30705,CVE-2021-30708,CVE-2021-30709,CVE-2021-30710,CVE-2021-30712,CVE-2021-30715,CVE-2021-30716,CVE-2021-30717,CVE-2021-30721,CVE-2021-30722,CVE-2021-30723,CVE-2021-30724,CVE-2021-30725,CVE-2021-30728,CVE-2021-30743,CVE-2021-30746,CVE-2021-30686,CVE-2021-30688,CVE-2021-30696,CVE-2021-30719,CVE-2021-30726,CVE-2021-30735,CVE-2021-30737,CVE-2021-30739",9.8,2021-05-26
58,61,375585,Apple macOS Security Update 2021-004 Mojave (HT212531),Local,"Unix Authenticated Discovery, Patch Available","CVE-2021-30676,CVE-2021-30678,CVE-2021-30690,CVE-2021-30669,CVE-2021-30681,CVE-2021-30724,CVE-2021-30710,CVE-2021-1884,CVE-2021-1883,CVE-2021-30697,CVE-2021-30683,CVE-2021-30687,CVE-2021-30705,CVE-2021-30728,CVE-2021-30704,CVE-2021-30702,CVE-2021-30723,CVE-2021-30691,CVE-2021-30694,CVE-2021-30692,CVE-2021-30746,CVE-2021-30693,CVE-2021-30695,CVE-2021-30708,CVE-2021-30709,CVE-2021-30725,CVE-2021-30679,CVE-2020-36226,CVE-2020-36229,CVE-2020-36225,CVE-2020-36224,CVE-2020-36223,CVE-2020-36227,CVE-2020-36228,CVE-2020-36221,CVE-2020-36222,CVE-2020-36230,CVE-2021-30716,CVE-2021-30717,CVE-2021-30712,CVE-2021-30721,CVE-2021-30722,CVE-2021-30696,CVE-2021-30726,CVE-2021-30735,CVE-2021-30737,CVE-2021-30738,CVE-2021-30739",9.8,2021-05-26
60,63,610334,Apple iOS 14.5 and iPadOS 14.5 Security Update Missing (HT212317),Mobile Device,"Unix Authenticated Discovery, Patch Available","CVE-2021-1835,CVE-2021-1837,CVE-2021-1867,CVE-2021-1849,CVE-2021-1836,CVE-2021-1808,CVE-2021-1857,CVE-2021-1846,CVE-2021-1809,CVE-2021-30659,CVE-2021-1811,CVE-2021-1872,CVE-2021-1881,CVE-2021-1882,CVE-2021-1813,CVE-2021-30656,CVE-2021-1883,CVE-2021-1884,CVE-2021-1885,CVE-2021-30653,CVE-2021-1843,CVE-2021-1858,CVE-2021-1864,CVE-2021-1877,CVE-2021-1852,CVE-2021-1830,CVE-2021-1874,CVE-2021-1851,CVE-2021-1860,CVE-2021-1816,CVE-2021-1832,CVE-2021-30660,CVE-2021-30652,CVE-2021-1875,CVE-2021-1822,CVE-2021-1865,CVE-2021-1815,CVE-2021-1739,CVE-2021-1740,CVE-2021-1807,CVE-2021-1831,CVE-2021-1868,CVE-2021-1854,CVE-2021-1848,CVE-2021-1825,CVE-2021-1817,CVE-2021-1826,CVE-2021-1820,CVE-2021-30661,CVE-2020-7463,CVE-2021-1862",9.8,2021-05-05
